category,amt,city_pop,fraud,trans_month,trans_quarter,Cust_age,city_pop_category,avg_amount_by_category,gender_F,gender_M,trans_year_2019,trans_year_2020
12,17.8,124068,0,2,1,39,2,59.703755,1,0,1,0
7,68.9,1,0,3,1,28,0,64.271797,1,0,0,1
3,46.2,6066,0,3,1,34,1,60.590639,1,0,1,0
8,91.39,102594,0,4,2,50,2,115.06875,0,1,0,1
9,30.34,10340,0,3,1,21,1,116.654856,0,1,1,0
12,16.4,5370,0,8,3,48,1,56.935838,1,0,0,1
0,4.06,10426,0,2,1,56,1,51.691546,1,0,0,1
5,126.8,1,0,8,3,32,0,80.606276,1,0,0,1
2,356.38,11540,0,5,2,65,1,62.237027,0,1,0,1
8,0.01,53937,0,9,3,29,2,63.486186,1,0,0,1
7,19.3,1,0,7,3,81,0,91.383437,1,0,0,1
6,27.84,22882,0,11,4,41,1,57.070988,1,0,0,1
13,195.54,38972,0,6,2,48,1,116.462179,1,0,1,0
7,15.83,1,0,4,2,83,0,88.611732,0,1,0,1
5,97.13,1,0,8,3,50,0,82.326656,1,0,0,1
0,0.01,36649,0,8,3,89,1,63.459787,0,1,1,0
4,198.21,4286,0,6,2,31,0,116.202696,0,1,0,1
12,26.4,6105,0,7,3,51,1,65.468159,0,1,1,0
6,26.2,1,0,6,2,43,0,54.600795,1,0,0,1
12,11.67,13082,0,4,2,46,1,61.631842,0,1,0,1
7,102.62,5889,0,4,2,32,1,86.949462,1,0,0,1
7,509.82,141686,0,11,4,79,2,81.151573,0,1,0,1
6,24.39,6258,0,9,3,32,1,51.62643,0,1,1,0
7,51.41,9581,0,2,1,44,1,56.565213,1,0,1,0
0,23.39,1,0,12,4,76,0,63.949918,0,1,0,1
0,16.77,12604,0,9,3,27,1,58.175388,0,1,1,0
6,15.88,1,0,1,1,46,0,63.481365,0,1,0,1
8,9.68,1312,0,9,3,45,0,77.615069,1,0,1,0
7,38.37,21064,0,8,3,35,1,50.089294,0,1,0,1
6,44.08,24679,0,11,4,28,1,54.47009,1,0,0,1
4,37.39,22545,0,6,2,22,1,88.341502,1,0,0,1
9,65.57,3450,0,7,3,81,0,64.12854,0,1,0,1
8,29.79,1,0,4,2,36,0,61.050841,1,0,1,0
0,0.01,9201,0,4,2,30,1,88.906655,0,1,1,0
6,116.79,1,0,8,3,32,0,89.814997,1,0,1,0
9,19.72,7247,0,10,4,31,1,63.173518,1,0,0,1
10,20.32,16374,0,11,4,62,1,57.679911,1,0,0,1
4,6.42,1,0,10,4,63,0,47.868925,0,1,0,1
12,127.32,12743,0,8,3,28,1,115.950535,0,1,1,0
9,44.99,11851,0,7,3,20,1,58.069973,1,0,0,1
6,80.86,78512,0,5,2,51,2,118.540992,0,1,1,0
8,121.98,474684,0,10,4,59,2,57.360655,1,0,1,0
12,498.16,12160,0,4,2,37,1,110.147888,0,1,1,0
3,75.12,642015,0,4,2,53,2,116.374252,1,0,0,1
2,95.58,1,0,11,4,27,0,54.380913,0,1,1,0
6,103.27,1,0,8,3,47,0,116.521096,1,0,0,1
1,13.91,1,0,5,2,37,0,51.729545,1,0,0,1
11,31.18,9868,0,11,4,43,1,58.154495,0,1,0,1
