category,amt,city_pop,trans_month,trans_quarter,Cust_age,city_pop_category,avg_amount_by_category,gender_F,gender_M,trans_year_2019,trans_year_2020
1,0,1,1,1,61,1,22333.92,0,1,1,1
0,0,0,1,0,66,1,87993.17,0,1,0,0
0,0,1,1,1,53,1,80136.18,0,1,0,0
1,1,1,1,0,50,0,81965.81,1,0,0,0
0,1,1,1,1,56,1,74306.38,1,1,0,1
0,0,0,0,1,74,1,94847.29,1,1,1,1
1,0,0,0,0,51,1,14079.38,1,0,1,1
0,1,0,0,1,33,0,81443.81,0,0,1,0
1,1,0,1,0,26,1,1949.09,0,0,1,0
1,1,0,0,0,45,0,36607.12,0,0,1,0
1,0,0,1,0,32,1,22904.78,1,1,1,0
0,0,1,0,1,30,0,66937.91,1,0,1,0
0,1,0,0,1,70,1,87220.92,1,0,1,0
0,1,1,1,0,44,0,20042.23,1,0,1,1
0,0,0,0,0,68,0,41006.54,1,0,1,0
0,0,0,0,0,77,1,62540.82,1,1,0,0
0,1,0,1,0,78,0,60543.32,0,0,1,1
0,1,0,0,0,44,0,75391.02,0,1,1,1
1,0,0,0,0,24,1,68468.04,0,1,0,1
1,1,0,1,0,66,1,9444.53,0,0,0,1
1,0,0,0,1,56,0,76282.16,1,0,0,0
0,0,0,0,1,45,0,54009.35,0,0,1,0
1,1,1,0,1,56,1,27244.52,1,1,1,1
0,0,0,1,0,46,0,88265.56,0,1,0,0
0,1,0,1,1,19,0,56431.53,1,1,1,1
0,1,0,1,0,60,0,48477.32,0,1,1,1
0,1,1,0,0,62,0,44727.15,0,0,1,0
0,1,0,0,0,45,0,67215.79,1,1,1,0
0,0,0,1,1,30,1,81165.72,0,1,0,1
1,1,1,1,1,43,0,67342.02,1,1,1,1
0,0,0,1,1,20,1,74797.77,0,1,1,1
0,0,1,1,0,61,1,97746.95,1,0,1,0
1,1,0,1,1,39,0,48058.1,1,0,0,0
0,0,0,0,1,21,0,50670.1,1,0,0,1
1,1,1,0,0,59,1,46230.01,1,0,1,0
0,0,0,0,0,49,0,67356.34,1,1,0,1
1,0,0,0,1,43,1,26406.12,1,1,0,1
1,0,1,0,1,72,1,72299.34,1,1,1,0
1,1,1,1,1,32,0,17375.63,1,0,1,0
0,1,1,0,0,42,0,22459.15,1,0,1,1
1,0,1,0,0,42,0,21085.21,0,1,1,1
0,1,0,1,1,45,0,33340.82,1,0,0,0
1,1,0,0,0,53,0,16426.16,1,1,1,1
0,1,0,1,1,22,0,39313.52,0,1,0,1
1,0,1,1,1,27,0,54342.62,0,1,1,1
0,1,1,0,1,46,1,95405.83,1,1,0,0
1,0,1,0,0,61,1,30752.44,0,1,1,1
1,1,1,0,1,62,1,98960.9,0,0,0,0
0,1,0,1,1,48,1,7651.27,0,1,1,0
0,1,1,0,1,48,1,12915.9,0,1,0,1
0,0,0,0,1,39,1,15219.63,1,0,1,1
1,0,1,1,1,49,0,41802.8,1,1,1,1
0,1,0,0,1,62,0,82513.19,1,1,0,0
1,0,0,1,1,69,1,54020.97,0,1,1,1
1,0,0,1,0,18,0,31936.43,0,0,0,1
0,1,1,1,1,29,0,98342.36,1,0,1,0
1,0,0,0,1,49,0,18035.97,1,0,1,1
1,1,0,1,0,18,0,5495.67,1,0,1,1
0,1,0,1,0,55,0,72539.92,1,0,1,1
1,1,0,0,1,51,1,48503.64,1,0,0,0
1,1,0,0,0,58,0,27457.06,1,0,1,1
1,1,1,1,0,38,1,17243.62,0,1,0,0
0,0,1,1,1,54,1,95808.22,0,1,0,0
1,1,0,0,0,63,1,20975.56,1,0,1,1
0,1,0,1,1,62,0,61249.09,1,1,0,0
0,1,0,0,1,18,0,17308.75,0,0,0,1
0,1,1,1,0,52,0,30998.69,0,1,1,1
1,0,1,0,0,35,1,24486.4,1,0,0,1
0,0,0,1,0,60,0,56014.91,1,0,0,1
1,0,0,1,1,39,0,68866.37,1,0,0,0
1,0,0,0,0,20,0,62748.22,0,0,1,1
0,0,1,0,1,65,0,23483.26,0,0,0,0
1,1,0,1,1,19,1,59807.38,0,0,1,0
1,0,0,0,1,51,1,64937.85,1,1,1,0
1,0,0,1,1,54,1,2665.79,1,0,1,1
1,1,0,1,0,19,0,78373.44,0,0,0,0
0,0,0,0,1,61,1,5929.99,1,1,1,1
0,1,1,0,0,78,0,85332.51,1,1,1,0
1,1,1,0,1,56,1,19607.89,0,0,0,1
0,1,1,0,1,62,1,59253.46,0,0,0,0
1,0,0,1,0,37,1,16059.05,1,1,1,0
1,0,1,1,0,23,1,69909.51,1,1,0,0
0,1,1,1,1,79,0,47194.7,0,1,1,1
1,0,0,1,0,22,1,19957.56,1,0,0,1
1,1,0,0,0,50,1,99826.07,0,1,0,1
1,1,1,0,0,64,1,13443.35,1,1,0,0
1,1,0,0,1,60,1,69251.7,0,0,1,1
0,0,0,1,1,41,1,29842.22,1,0,1,1
0,0,0,0,0,67,0,89187.23,0,0,0,1
1,0,1,1,0,34,0,71295.93,1,1,0,0
0,0,0,0,0,75,0,82709.29,0,0,1,0
0,0,0,0,1,52,1,43650.82,0,0,1,1
0,0,0,0,1,25,0,31059.49,1,0,0,1
0,1,1,0,0,28,0,27848.78,1,0,0,0
0,0,1,1,1,29,0,19796.78,1,1,1,0
1,1,1,0,1,28,1,64394.49,1,0,0,1
0,0,1,0,0,54,1,36709.41,0,0,0,1
0,1,0,0,0,68,1,20952.3,0,0,1,1
1,1,0,1,0,70,0,17030.18,0,0,0,1
0,1,1,0,1,48,1,4268.74,0,0,1,0
